scenarioPath,scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,multigauge
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2019-02-02,2019-02-15,14,14,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2019-02-21,2019-02-26,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2019-03-01,2019-03-04,4,4,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2019-03-07,2019-03-08,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,BF2_b,2018,2019-03-29,2019-03-30,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2014,2015-01-08,2015-01-09,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2014,2015-01-18,2015-01-19,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2014,2015-01-29,2015-01-29,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2014,2015-06-20,2015-06-21,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-07-17,2015-08-02,17,17,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-08-04,2015-09-07,35,35,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-09-19,2015-10-09,21,21,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-11-09,2015-11-10,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-12-03,2015-12-03,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-12-06,2015-12-06,1,1,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-12-13,2015-12-19,7,7,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2015-12-24,2015-12-28,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2016-01-17,2016-01-18,2,2,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2016-01-20,2016-01-22,3,3,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2016-01-29,2016-02-03,6,6,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2016-06-06,2016-06-10,5,5,
hydrographs\base\base,base,421004,Baroona to Warren Weir,SF1,2015,2016-06-21,2016-06-30,10,10,
